,Actual,Forecast,Lower95,Upper95,Temperature
2018-10-14,55848.94047619047,57089.285570555614,54126.80170719109,60051.76943392014,14.528571428571428
2018-10-21,55762.125,58297.089534577426,55148.6902498085,61445.488819346356,11.87142857142857
2018-10-28,58684.71428571428,59321.40266291986,56143.906345854695,62498.89897998503,8.814285714285715
2018-11-04,55917.58928571428,55601.68269030003,52423.55974461713,58779.805635982935,8.757142857142856
2018-11-11,58163.47023809524,60187.21711047428,56993.60418213824,63380.83003881032,9.685714285714285
2018-11-18,59696.083333333336,61368.19510069239,58164.05784619804,64572.33235518674,6.528571428571429
2018-11-25,61553.36309523809,62566.65676886244,59353.068003915636,65780.24553380924,2.1714285714285713
2018-12-02,62379.15476190476,63367.375240539324,60143.28728075694,66591.46320032171,1.5714285714285714
2018-12-09,62322.69047619047,63773.817911431324,60539.582568666476,67008.05325419617,6.528571428571429
2018-12-16,63243.5,63760.78567442115,60516.46078093331,67005.110567909,1.1
2018-12-23,59408.55952380953,58775.66263859028,55521.23032413303,62030.094953047526,3.6714285714285713
2018-12-30,49075.583333333336,49704.51831311193,46440.0335179198,52969.00310830405,4.985714285714286
2019-01-06,53805.875,57181.21054813553,53906.69201184326,60455.7290844278,2.9285714285714284
2019-01-13,62372.20238095238,61389.37702992544,58104.86009730856,64673.893962542315,3.1714285714285713
2019-01-20,62423.494047619046,63197.04789733151,59902.56985882423,66491.5259358388,1.6285714285714283
2019-01-27,63587.01190476191,63058.3231916853,59753.94646879005,66362.69991458055,-2.314285714285714
2019-02-03,62088.767857142855,62707.06851931714,59392.77863398198,66021.35840465229,0.31428571428571433
2019-02-10,62359.53571428572,61821.84107447935,58497.669589386634,65146.01255957207,3.7714285714285714
2019-02-17,60799.00595238096,61576.79500797657,58242.77400488225,64910.81601107089,4.585714285714286
2019-02-24,59467.517857142855,61318.22648632672,57974.38331611199,64662.06965654145,4.171428571428572
2019-03-03,58481.82142857143,62415.08676792052,59061.450384371725,65768.72315146931,5.914285714285714
2019-03-10,58990.95238095238,60002.973893628914,56639.572884001085,63366.37490325674,7.328571428571428
2019-03-17,60078.91071428572,61262.47453281171,57889.337047576744,64635.61201804668,6.057142857142857
2019-03-24,57649.36309523809,60696.74227850633,57313.896318358435,64079.58823865423,7.271428571428571
2019-03-31,56771.51190476191,56366.306188352,52973.77950527467,59758.832871429324,7.357142857142857
2019-04-07,56433.857142857145,55922.19067491288,52520.010776137824,59324.37057368794,10.857142857142858
2019-04-14,56765.97023809524,58248.46332546632,54836.65748820411,61660.26916272853,5.471428571428571
2019-04-21,51656.26190476191,56128.34463866183,52706.93990951636,59549.7493678073,11.214285714285714
2019-04-28,52336.75,56399.78926596696,52968.81246322536,59830.76606870856,15.042857142857143
2019-05-05,53123.17261904762,54930.950221634455,51490.42793885205,58371.47250441686,9.328571428571427
2019-05-12,56023.57738095238,55599.27800855422,52149.236617479466,59049.31939962897,10.528571428571428
2019-05-19,55285.59523809524,57164.872788371016,53705.33844157386,60624.40713516817,12.157142857142857
2019-05-26,54945.35119047619,55159.384439164765,51690.38307289483,58628.3858054347,15.8
2019-06-02,51308.80357142857,56197.89230755465,52719.44964448387,59676.33497062542,17.87142857142857
2019-06-09,54528.16071428572,56785.48230185142,53297.62385370969,60273.340749993156,22.914285714285715
2019-06-16,52286.708333333336,56197.233471874926,52699.98454197503,59694.482401774825,22.5
2019-06-23,52541.21428571428,56881.68883066831,53375.07451655376,60388.30314478286,22.24285714285714
2019-06-30,55955.28571428572,55919.342838796285,52403.388034663214,59435.297642929356,24.557142857142857
2019-07-07,55179.63095238096,57533.31685003823,54008.04624863148,61058.58745144498,17.82857142857143
2019-07-14,53908.16666666666,55579.96040814276,52045.39850411294,59114.52231217258,17.285714285714285
2019-07-21,53511.96428571428,55225.298132608994,51681.469223543354,58769.127041674634,19.914285714285715
2019-07-28,54207.10119047619,56051.8988520663,52498.827038517324,59604.97066561527,24.67142857142857
2019-08-04,52392.10119047619,56673.42675371188,53111.13594867763,60235.71755874613,21.3
2019-08-11,52019.05357142857,55673.55173092786,52102.06564768288,59245.037814172836,21.400000000000002
2019-08-18,51155.23809523809,55005.1743033288,51424.51645514638,58585.83215151122,18.914285714285715
2019-08-25,51838.13095238096,55614.23096724037,52024.42471225323,59204.03722222751,20.842857142857145
2019-09-01,54091.97023809524,54698.32664968031,51099.39506761371,58297.25823174691,24.914285714285715
2019-09-08,52443.16071428572,56502.306873495225,52894.27285099442,60110.34089599603,16.614285714285714
2019-09-15,53348.48809523809,56755.183350161,53138.06975471175,60372.29694561025,15.714285714285714
2019-09-22,53222.54761904762,58309.32274571106,54683.15150616349,61935.49398525863,12.885714285714286
2019-09-29,54829.47619047619,56875.25463693138,53240.04797415143,60510.46129971133,15.157142857142857
2019-10-06,52330.63095238096,55870.75166416233,52226.532010390234,59514.971317934425,10.242857142857144
2019-10-13,55801.708333333336,58746.22335882482,54233.96379000983,63258.48292763981,12.342857142857143
2019-10-20,56132.79166666666,59155.459537304996,54505.94313904605,63804.97593556394,14.157142857142857
2019-10-27,56484.41071428572,59858.10953671861,55169.46963966685,64546.749433770376,13.12857142857143
2019-11-03,55029.63095238096,57326.208728021535,52627.504151562454,62024.913304480615,5.8999999999999995
2019-11-10,58159.36309523809,61809.08679015004,57082.657704212914,66535.51587608717,7.242857142857143
2019-11-17,59112.23809523809,62876.256489287945,58126.83270235761,67625.68027621828,4.8428571428571425
2019-11-24,59735.94047619047,63030.77801227767,58259.50647784098,67802.04954671435,7.0
2019-12-01,59842.833333333336,64084.35928083909,59290.26885563114,68878.44970604705,4.8
2019-12-08,61059.29761904762,65381.90137214821,60565.41285128644,70198.38989300998,3.9714285714285715
2019-12-15,61242.19047619047,64586.15420757183,59747.396667990695,69424.91174715296,3.4285714285714284
2019-12-22,56836.767857142855,59574.29094499138,54713.316200235924,64435.26568974683,6.128571428571428
2019-12-29,46505.30952380953,51226.30368065951,46343.231463015705,56109.37589830332,3.2142857142857144
