,Actual,Prediction
2018-10-14,55848.94047619047,55868.06358646236
2018-10-21,55762.125,56616.11373725297
2018-10-28,58684.71428571428,57891.179014353795
2018-11-04,55917.58928571428,54852.527741163176
2018-11-11,58163.47023809524,57987.17537622084
2018-11-18,59696.083333333336,58393.32074807339
2018-11-25,61553.36309523809,61552.388913190276
2018-12-02,62379.15476190476,61649.09296423147
2018-12-09,62322.69047619047,62044.02085244239
2018-12-16,63243.5,62203.34107263435
2018-12-23,59408.55952380953,60257.223835493554
2018-12-30,49075.583333333336,48534.59681985783
2019-01-06,53805.875,55424.30183747983
2019-01-13,62372.20238095238,59393.99980721553
2019-01-20,62423.494047619046,61991.06394305302
2019-01-27,63587.01190476191,62061.72644963246
2019-02-03,62088.767857142855,61276.44624550242
2019-02-10,62359.53571428572,61289.20100909097
2019-02-17,60799.00595238096,61064.04571028092
2019-02-24,59467.517857142855,59919.23244215398
2019-03-03,58481.82142857143,60106.82842912159
2019-03-10,58990.95238095238,57734.30388844213
2019-03-17,60078.91071428572,60283.089538058004
2019-03-24,57649.36309523809,60474.6108230583
2019-03-31,56771.51190476191,55516.20668102517
2019-04-07,56433.857142857145,55707.838153555844
2019-04-14,56765.97023809524,55486.84139406892
2019-04-21,51656.26190476191,54824.69422596478
2019-04-28,52336.75,54634.60370223864
2019-05-05,53123.17261904762,53138.472735176045
2019-05-12,56023.57738095238,53360.595981996186
2019-05-19,55285.59523809524,55777.979585071225
2019-05-26,54945.35119047619,54613.14051865964
2019-06-02,51308.80357142857,54355.20128496297
2019-06-09,54528.16071428572,54614.38351598469
2019-06-16,52286.708333333336,53443.937193415164
2019-06-23,52541.21428571428,54468.80933597561
2019-06-30,55955.28571428572,53965.220828471334
2019-07-07,55179.63095238096,54487.127536166
2019-07-14,53908.16666666666,54473.03292288967
2019-07-21,53511.96428571428,54234.91433808015
2019-07-28,54207.10119047619,54724.82879171756
2019-08-04,52392.10119047619,52907.00190596748
2019-08-11,52019.05357142857,52386.73076370569
2019-08-18,51155.23809523809,51925.55955807268
2019-08-25,51838.13095238096,52530.098891526235
2019-09-01,54091.97023809524,52932.074778520626
2019-09-08,52443.16071428572,53220.705118725215
2019-09-15,53348.48809523809,53478.77908249714
2019-09-22,53222.54761904762,57013.523404729494
2019-09-29,54829.47619047619,55347.76902045703
2019-10-06,52330.63095238096,54041.78472843445
2019-10-13,55801.708333333336,54550.70492377105
2019-10-20,56132.79166666666,54983.91757814177
2019-10-27,56484.41071428572,57053.33368236936
2019-11-03,55029.63095238096,55007.706997321235
2019-11-10,58159.36309523809,57779.0436801651
2019-11-17,59112.23809523809,58584.39437919113
2019-11-24,59735.94047619047,60171.96398105541
2019-12-01,59842.833333333336,60068.897324949845
2019-12-08,61059.29761904762,60908.49417467932
2019-12-15,61242.19047619047,61080.47265275341
2019-12-22,56836.767857142855,60283.52469553745
2019-12-29,46505.30952380953,48525.37600640939
2020-01-05,50161.70238095238,53787.10156368502
2020-01-12,59077.59523809524,58076.15352891406
2020-01-19,60361.69642857143,59939.68003229507
2020-01-26,60893.732142857145,61692.09159047295
2020-02-02,60839.19642857143,60323.94277758427
2020-02-09,60259.83928571428,60098.51813887468
2020-02-16,60845.125,60412.57816863934
2020-02-23,59787.32738095238,60534.87453617283
2020-03-01,58899.13690476191,59380.16377234544
2020-03-08,58688.47023809524,59453.90995739315
2020-03-15,58534.23809523809,58903.85491349948
2020-03-22,55372.744047619046,57725.57667090995
2020-03-29,53471.982142857145,58082.53300747253
2020-04-05,52845.267857142855,56531.44805258109
2020-04-12,47210.88690476191,55907.91815373987
2020-04-19,47415.69642857143,51750.2500377198
2020-04-26,50172.41666666666,51705.81194064704
2020-05-03,48161.90476190476,52931.303071303395
2020-05-10,49590.77976190476,54037.658385233306
2020-05-17,50926.97619047619,54099.041269915855
2020-05-24,47439.642857142855,53630.64439847238
2020-05-31,49527.607142857145,53481.84503137296
2020-06-07,48776.244047619046,53841.155178340865
2020-06-14,48219.744047619046,53400.05169189616
2020-06-21,49813.94642857143,53628.809071123374
2020-06-28,50480.79166666666,53971.73018993942
2020-07-05,51458.875,53566.612914536796
2020-07-12,51252.57738095238,53410.064400663774
2020-07-19,50896.18452380953,53415.96023986326
2020-07-26,50475.73809523809,53921.94801281795
2020-08-02,50049.392857142855,53198.32815852133
2020-08-09,49450.92261904762,53185.646083527005
2020-08-16,52076.73809523809,53515.95284087868
2020-08-23,51872.05952380953,53413.552696494844
2020-08-30,51653.375,53298.47314884847
2020-09-06,51617.744047619046,53209.47970140647
2020-09-13,51507.63095238096,53496.51307460446
2020-09-20,52181.32738095238,53415.03929788217
2020-09-27,53411.93452380953,53713.041654808556
2020-10-04,57410.319444444445,54283.73942068593
