Actual,Forecast
44899.0,45775.773
45550.0,44715.504
47150.0,46897.27
51794.0,51216.39
59531.00000000001,59495.44
64753.0,65605.19
66960.0,67245.82
67635.0,68126.164
68350.0,69234.58
70225.0,69287.305
70294.0,70100.5
69599.0,69597.086
69011.0,68562.914
67694.0,68361.164
66139.0,67448.086
64971.0,66262.875
65365.0,65433.316
66939.0,65378.957
63690.00000000001,64859.355
59465.00000000001,59494.492
55575.0,55736.27
51957.0,51768.29
49025.0,48950.53
47282.0,46953.285
46233.0,46629.895
45604.0,46188.22
45375.0,45836.42
45138.0,47290.59
44680.0,48210.164
46324.0,46935.1
49490.0,49273.29
52637.0,52427.277
54592.0,54540.586
55999.0,55118.266
55412.0,55940.188
52956.0,54406.19
51705.00000000001,51123.605
50661.0,51305.645
50013.0,50946.11
51084.0,51009.53
53401.0,52795.19
55972.0,54398.188
54307.0,54967.008
52005.0,51216.746
50631.0,49438.12
47114.0,47909.55
44492.0,44294.773
42965.0,42474.547
42109.0,41697.79
42915.0,41917.617
44760.0,44102.11
49195.00000000001,47762.617
57543.0,55266.51
62741.0,63843.32
64518.0,66150.49
65518.0,66412.37
66458.0,68069.016
67167.0,68300.93
66313.0,67597.945
65331.0,66044.67
63064.0,64743.426
62004.0,62381.258
61168.0,62733.574
61427.99999999999,62791.703
62252.0,62804.797
64750.0,62102.273
62436.0,62590.758
58301.00000000001,57886.03
54446.0,54103.484
50599.0,50428.566
47752.0,47483.797
45723.0,45829.734
45191.0,45049.67
45652.0,45546.97
47057.99999999999,47268.49
50606.0,51404.71
58044.0,57392.56
63245.0,63814.914
65318.0,65787.25
65470.99999999999,66391.45
65784.0,66934.23
66170.0,66793.03
64864.99999999999,66268.47
64502.99999999999,64199.105
62102.0,63871.29
61673.0,61099.555
60172.99999999999,62010.48
59746.0,60491.977
60368.99999999999,60130.32
62609.99999999999,60083.754
60078.0,60750.51
56669.99999999999,55923.832
53141.0,52984.633
49521.0,49514.527
46110.0,46799.465
44212.0,43901.867
42981.0,43090.727
42551.0,42285.957
42981.0,42473.965
43768.0,44186.85
46129.0,46151.066
48732.0,49838.793
52215.00000000001,52008.137
54157.0,54969.93
55594.0,55478.312
56375.0,55995.867
55411.0,56077.45
53256.00000000001,54138.164
51522.0,51549.13
51030.0,50946.016
51052.99999999999,52259.484
52014.0,52696.414
53125.0,53163.75
55389.0,53078.605
52715.99999999999,54099.703
50040.00000000001,49317.758
47791.0,47337.598
44414.0,44714.176
41100.0,41964.293
39449.0,39172.863
38352.0,38655.457
37482.0,37913.01
37413.0,37060.156
38307.0,37670.887
39134.0,40457.12
41768.0,41852.3
45156.0,45255.69
47907.0,48317.293
49759.0,49934.68
52341.0,50638.41
51601.99999999999,52885.945
49362.0,50570.086
47770.99999999999,47646.996
46909.0,47045.543
46810.00000000001,47528.688
48271.0,48320.426
50837.00000000001,50027.234
52944.00000000001,51672.094
50983.00000000001,51974.113
48745.99999999999,48335.234
47912.0,46646.93
