,Actual,Forecast,Lower95,Upper95
2018-10-14 00:00:00+00:00,55848.94047619047,58154.62493375241,54962.6535987457,61346.59626875912
2018-10-21 00:00:00+00:00,55762.125,58692.29698548996,55199.416969082755,62185.17700189716
2018-10-28 00:00:00+00:00,58684.71428571428,59487.28320430857,55949.74328315711,63024.82312546003
2018-11-04 00:00:00+00:00,55917.58928571428,56735.44163290363,53154.46042981552,60316.42283599175
2018-11-11 00:00:00+00:00,58163.47023809524,61869.95559884483,58277.394994352806,65462.51620333685
2018-11-18 00:00:00+00:00,59696.083333333336,62301.28340170363,58707.420639169075,65895.14616423819
2018-11-25 00:00:00+00:00,61553.36309523809,63209.60306803655,59578.06054494783,66841.14559112527
2018-12-02 00:00:00+00:00,62379.15476190476,64479.499508483575,60832.83561731208,68126.16339965508
2018-12-09 00:00:00+00:00,62322.69047619047,65302.44480783309,61654.523820403505,68950.36579526268
2018-12-16 00:00:00+00:00,63243.5,65048.71227575926,61362.909052532246,68734.51549898628
2018-12-23 00:00:00+00:00,59408.55952380953,60331.14105030417,56623.84726216282,64038.43483844552
2018-12-30 00:00:00+00:00,49075.583333333336,51117.01617095429,47399.26075372329,54834.771588185286
2019-01-06 00:00:00+00:00,53805.875,58547.66619425515,54787.94073777903,62307.391650731275
2019-01-13 00:00:00+00:00,62372.20238095238,63398.34387662176,59608.429327725404,67188.25842551811
2019-01-20 00:00:00+00:00,62423.494047619046,64973.94849648977,61160.64268474086,68787.25430823868
2019-01-27 00:00:00+00:00,63587.01190476191,63693.17832425865,59831.19802063886,67555.15862787845
2019-02-03 00:00:00+00:00,62088.767857142855,63979.063574635344,60076.394415411436,67881.73273385926
2019-02-10 00:00:00+00:00,62359.53571428572,64446.994567170426,60506.6404092193,68387.34872512156
2019-02-17 00:00:00+00:00,60799.00595238096,63995.6633069348,59997.87668297389,67993.44993089572
2019-02-24 00:00:00+00:00,59467.517857142855,63885.459581754614,59835.11464606862,67935.8045174406
2019-03-03 00:00:00+00:00,58481.82142857143,65946.8602728163,61844.10350398555,70049.61704164704
2019-03-10 00:00:00+00:00,58990.95238095238,62532.39898990896,58362.04466822076,66702.75331159716
2019-03-17 00:00:00+00:00,60078.91071428572,63782.99326500794,59547.459783156766,68018.52674685912
2019-03-24 00:00:00+00:00,57649.36309523809,63561.50306938868,59259.04879559434,67863.95734318302
