,Actual,Forecast,Temperature
2018-10-14,55848.94047619047,57208.4000727871,14.528571428571428
2018-10-21,55762.125,57854.5805047202,11.87142857142857
2018-10-28,58684.71428571428,58874.48503627301,8.814285714285715
2018-11-04,55917.58928571428,55453.65708817936,8.757142857142856
2018-11-11,58163.47023809524,60205.85138293619,9.685714285714285
2018-11-18,59696.083333333336,61197.7855033732,6.528571428571429
2018-11-25,61553.36309523809,62068.77644389616,2.1714285714285713
2018-12-02,62379.15476190476,63070.259902719794,1.5714285714285714
2018-12-09,62322.69047619047,63699.64223360181,6.528571428571429
2018-12-16,63243.5,63425.83837749982,1.1
2018-12-23,59408.55952380953,58511.59424783732,3.6714285714285713
2018-12-30,49075.583333333336,49567.51602018996,4.985714285714286
2019-01-06,53805.875,56967.0435375199,2.9285714285714284
2019-01-13,62372.20238095238,61407.5312919968,3.1714285714285713
2019-01-20,62423.494047619046,63111.598396210684,1.6285714285714283
2019-01-27,63587.01190476191,62439.65974987091,-2.314285714285714
2019-02-03,62088.767857142855,62306.58099668336,0.31428571428571433
2019-02-10,62359.53571428572,61994.563985219815,3.7714285714285714
2019-02-17,60799.00595238096,61612.947245479714,4.585714285714286
2019-02-24,59467.517857142855,61404.61898922975,4.171428571428572
2019-03-03,58481.82142857143,62808.684010789766,5.914285714285714
2019-03-10,58990.95238095238,60016.84344286482,7.328571428571428
2019-03-17,60078.91071428572,61188.50886660754,6.057142857142857
2019-03-24,57649.36309523809,60727.26020964525,7.271428571428571
2019-03-31,56771.51190476191,56329.0553359599,7.357142857142857
2019-04-07,56433.857142857145,55795.43943619992,10.857142857142858
2019-04-14,56765.97023809524,57402.662242940656,5.471428571428571
2019-04-21,51656.26190476191,55739.49401362123,11.214285714285714
2019-04-28,52336.75,56374.939049781686,15.042857142857143
2019-05-05,53123.17261904762,54491.18993849414,9.328571428571427
2019-05-12,56023.57738095238,54963.94150792134,10.528571428571428
2019-05-19,55285.59523809524,56653.053114204944,12.157142857142857
2019-05-26,54945.35119047619,54648.041536661374,15.8
2019-06-02,51308.80357142857,55621.423241453645,17.87142857142857
2019-06-09,54528.16071428572,56600.96137581057,22.914285714285715
2019-06-16,52286.708333333336,56160.47504031412,22.5
2019-06-23,52541.21428571428,56931.95634720652,22.24285714285714
2019-06-30,55955.28571428572,56097.54152190356,24.557142857142857
2019-07-07,55179.63095238096,57135.89174614652,17.82857142857143
2019-07-14,53908.16666666666,55305.100915616764,17.285714285714285
2019-07-21,53511.96428571428,54938.07039012827,19.914285714285715
2019-07-28,54207.10119047619,55839.17943141071,24.67142857142857
2019-08-04,52392.10119047619,56117.55007393629,21.3
2019-08-11,52019.05357142857,55265.87325919214,21.400000000000002
2019-08-18,51155.23809523809,54568.64391287033,18.914285714285715
2019-08-25,51838.13095238096,55415.284385623556,20.842857142857145
2019-09-01,54091.97023809524,54897.01935135349,24.914285714285715
2019-09-08,52443.16071428572,56093.53874975164,16.614285714285714
2019-09-15,53348.48809523809,56407.426620491235,15.714285714285714
2019-09-22,53222.54761904762,57718.18743242815,12.885714285714286
2019-09-29,54829.47619047619,56832.22567315889,15.157142857142857
2019-10-06,52330.63095238096,55551.45703391376,10.242857142857144
2019-10-13,55801.708333333336,58477.87389888263,12.342857142857143
2019-10-20,56132.79166666666,58690.16423943327,14.157142857142857
2019-10-27,56484.41071428572,59513.74723447571,13.12857142857143
2019-11-03,55029.63095238096,56748.24993491409,5.8999999999999995
2019-11-10,58159.36309523809,61454.561277687506,7.242857142857143
2019-11-17,59112.23809523809,62378.165770871965,4.8428571428571425
2019-11-24,59735.94047619047,62657.28380196623,7.0
2019-12-01,59842.833333333336,63803.24991737818,4.8
2019-12-08,61059.29761904762,64950.09355445187,3.9714285714285715
2019-12-15,61242.19047619047,64232.562105352794,3.4285714285714284
2019-12-22,56836.767857142855,59305.51516245491,6.128571428571428
2019-12-29,46505.30952380953,50756.62471118039,3.2142857142857144
2020-01-05,50161.70238095238,58030.80558604902,2.642857142857143
2020-01-12,59077.59523809524,62253.8226852925,5.242857142857143
2020-01-19,60361.69642857143,63745.71411088221,6.0
2020-01-26,60893.732142857145,63129.04146842055,1.5
2020-02-02,60839.19642857143,62773.12832638414,6.528571428571429
2020-02-09,60259.83928571428,62883.09080912063,5.314285714285715
2020-02-16,60845.125,62535.53339607903,5.742857142857143
2020-02-23,59787.32738095238,62226.74575299597,6.442857142857143
2020-03-01,58899.13690476191,63911.3575348152,4.942857142857143
2020-03-08,58688.47023809524,61271.83746543877,4.785714285714286
